id;answer_seq_no;answer_type;answer_custom_label;answer_desc
1;98741;RADIO;Kroon Decentralized implement;neural Paradigm
2;15593;TEXT;Producer Sleek Rubber Cheese tan;visionary Rubber
3;43058;RADIO;Russian Ruble Unbranded Fresh Chair;EXE
4;94527;CHECKBOX;Movies parsing;Tasty Concrete Fish alarm Credit Card Account
5;3065;CHECKBOX;Gorgeous Cotton Bike;Tools Tactics
6;59952;RADIO;middleware Yuan Renminbi Mandatory;Customer Clothing
7;53368;RADIO;Versatile Jewelery mint green;Maryland Chips tangible
8;26926;TEXT;olive Customizable Ergonomic;hard drive magenta
9;72249;RADIO;Engineer Swedish Krona;impactful Managed
10;73260;TEXT;Bedfordshire technologies array;bus input knowledge user
