id;category_seq_no;category_no;category_desc
1;5011;Rustic architect;Applications
2;41971;client-server invoice;haptic asymmetric interface
3;71269;reinvent Plastic methodology;Music XSS
4;44063;Investment Account Soft black;Assurance Incredible Rubber Table Berkshire
5;3423;Pizza;communities Producer
6;27342;Credit Card Account Games Landing;Harbors
7;39730;Director;Granite Sleek
8;14210;Quality-focused hardware;Granite empowering Yuan Renminbi
9;81361;Metrics;Cross-platform deposit Mountains
10;93865;clicks-and-mortar;Cambridgeshire HDD
